Start,Stop,Type,Bus,Year,Month,Week,Hour,Counts
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sat","19","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sat","19","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sat","19","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sat","19","8"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sat","19","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sat","20","8"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sat","20","6"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sat","20","6"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sat","20","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sat","20","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sat","20","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sat","20","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sat","21","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sat","21","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sat","21","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sat","21","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sat","21","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sat","21","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","8","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","9","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","9","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","10","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","10","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","10","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","10","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","10","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","10","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sun","10","7"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","11","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","11","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","11","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","11","8"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","11","8"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","11","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sun","11","10"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","12","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","12","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","12","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","13","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","13","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","13","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","14","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","14","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","14","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","15","9"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","15","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","15","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","15","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sun","15","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","16","10"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","16","7"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","16","14"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","16","7"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","16","8"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","16","13"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sun","16","6"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","17","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","17","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","17","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","17","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","18","7"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","18","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","18","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","18","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","18","6"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","19","9"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","19","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","19","9"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","19","8"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","19","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","19","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Fri","14","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Fri","14","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Fri","14","5"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Fri","14","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Fri","15","11"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Fri","15","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Fri","15","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Fri","15","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","12","Fri","15","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Fri","16","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Fri","16","5"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Fri","16","8"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Fri","16","5"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Fri","16","5"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Fri","16","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Fri","17","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Fri","17","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Fri","17","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Fri","17","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Fri","17","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","12","Fri","17","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Fri","18","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Fri","18","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Fri","18","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Fri","18","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Fri","18","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Fri","18","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","12","Fri","18","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Fri","19","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Fri","19","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Fri","19","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Fri","19","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Fri","20","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Fri","20","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Fri","20","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Fri","20","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Fri","20","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Fri","21","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Fri","21","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Fri","21","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Fri","21","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Fri","21","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Mon","6","7"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Mon","6","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Mon","6","10"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Mon","6","9"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Mon","6","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Mon","6","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","12","Mon","6","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Mon","7","9"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Mon","7","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Mon","7","11"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Mon","7","5"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Mon","7","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Mon","7","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","12","Mon","7","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Mon","8","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Mon","8","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Mon","8","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Mon","8","6"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Mon","8","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Mon","9","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Mon","9","9"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Mon","9","8"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Mon","9","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Mon","9","2"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Mon","9","7"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Mon","10","5"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","2","Mon","10","10"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","4","Mon","10","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","5","Mon","10","4"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","10","Mon","10","3"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","11","Mon","10","8"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","12","Mon","10","1"
"臺中火車站","國立臺中科技大學","中市敬老","B108","2015","1","Mon","11","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sun","19","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","20","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","20","7"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","20","6"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","20","8"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","20","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","20","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Sun","20","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Sun","21","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Sun","21","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Sun","21","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Sun","21","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Sun","21","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Sun","21","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","7","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","7","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","8","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Thu","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","9","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","9","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","9","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Thu","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","10","16"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","10","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","10","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","10","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Thu","10","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Thu","10","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","11","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","11","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","11","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","11","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Thu","11","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","12","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","12","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","12","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","12","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","13","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","13","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","13","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","14","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","14","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","14","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","15","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","15","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Thu","15","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Thu","15","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","16","9"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","16","14"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","16","5"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","16","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","16","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Thu","16","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Thu","16","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","17","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","17","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","17","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","18","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","18","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","18","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","18","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","19","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","19","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","19","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","19","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Thu","19","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","20","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","20","7"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","20","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Thu","20","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Thu","21","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Thu","21","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Thu","21","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Thu","21","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Thu","21","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Tue","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Tue","6","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Tue","6","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","7","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Tue","7","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Tue","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Tue","7","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Tue","7","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Tue","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Tue","8","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Tue","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Tue","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Tue","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","10","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Tue","10","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Tue","10","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Tue","10","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Tue","10","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Tue","10","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Tue","10","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","11","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Tue","11","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Tue","11","6"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Tue","11","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","10","Tue","11","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Tue","11","3"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","12","Tue","11","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Tue","12","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","11","Tue","12","2"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","13","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Tue","13","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","14","4"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","5","Tue","14","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","1","Tue","15","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","2","Tue","15","1"
"臺中火車站","國立臺中科技大學","代幣全","B108","2015","4","Tue","15","2"
